ble_conns,trial,n_captured,ster,accuracy,delta_mean,delta_p99
6,1,1713,0.0,1.0,0.0,0.0
6,2,1405,0.0,1.0,0.0,0.0
6,3,1410,0.0,1.0,0.0,0.0
6,4,1411,0.0,1.0,0.0,0.0
6,5,1404,0.0,1.0,0.0,0.0
6,6,1344,0.0,1.0,0.0,0.0
6,7,1383,0.0,1.0,0.0,0.0
6,8,1366,0.0,1.0,0.0,0.0
6,9,1413,0.0,1.0,0.0,0.0
6,10,1392,0.0,1.0,0.0,0.0
